EMPLOYEE_ID,ACTIVITY_DATE,ACTIVITY_TYPE,POINTS_EARNED,VENDOR_CODE,VERIFIED_FLAG
EM0000014,09/26/2024,GYM_VISIT,5,VITALITY,Y
EM0000015,01/22/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000015,03/06/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000015,05/30/2024,STEPS_CHALLENGE,25,VIRGIN_PULSE,Y
EM0000015,08/15/2024,NUTRITION_CLASS,20,VIRGIN_PULSE,Y
EM0000015,10/09/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000016,02/01/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000016,03/27/2024,HEALTH_ASSESSMENT,25,RALLY,Y
EM0000016,05/15/2024,STEPS_CHALLENGE,25,RALLY,Y
EM0000016,07/31/2024,NUTRITION_CLASS,20,RALLY,Y
EM0000016,09/19/2024,GYM_VISIT,5,RALLY,Y
EM0000016,11/13/2024,MEDITATION,5,RALLY,Y
EM0000017,01/16/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000017,04/03/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000017,06/21/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000017,08/28/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000018,02/28/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000018,05/06/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000018,07/22/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000019,03/13/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000019,05/23/2024,HEALTH_ASSESSMENT,25,RALLY,Y
EM0000019,08/19/2024,STEPS_CHALLENGE,25,RALLY,Y
EM0000019,10/30/2024,NUTRITION_CLASS,20,RALLY,Y
EM0000020,01/05/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000020,02/23/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000020,04/16/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000020,06/04/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000020,08/20/2024,GYM_VISIT,5,VITALITY,Y
EM0000020,10/07/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000020,12/03/2024,MEDITATION,5,VITALITY,Y
